"Post code","Prefecture name","City name","Ward name","Town name"
6520801,Hyogo,Kobe,Hyogoku,Nakamichidori
6520033,Hyogo,Kobe,Hyogoku,Nishikamitachibanadori
6520034,Hyogo,Kobe,Hyogoku,Nishitachibanadori
6520035,Hyogo,Kobe,Hyogoku,Nishitamondori
6520822,Hyogo,Kobe,Hyogoku,Nishidemachi
6520835,Hyogo,Kobe,Hyogoku,Nishinakamachi
6520891,Hyogo,Kobe,Hyogoku,Nishimiyauchicho
6520806,Hyogo,Kobe,Hyogoku,Nishiyanagiwaracho
6520805,Hyogo,Kobe,Hyogoku,Hasakadori
6520016,Hyogo,Kobe,Hyogoku,Babacho
6520807,Hyogo,Kobe,Hyogoku,Hamasakidori
6520875,Hyogo,Kobe,Hyogoku,Hamanakacho
6520871,Hyogo,Kobe,Hyogoku,Hamayamadori
6520823,Hyogo,Kobe,Hyogoku,Higashidemachi
6520892,Hyogo,Kobe,Hyogoku,Higashiyanagiwaracho
6520042,Hyogo,Kobe,Hyogoku,Higashiyamacho
6520054,Hyogo,Kobe,Hyogoku,Himurocho
6520813,Hyogo,Kobe,Hyogoku,Hyogocho
6520052,Hyogo,Kobe,Hyogoku,Hiyodorigoesuji
6520057,Hyogo,Kobe,Hyogoku,Hiyodorigoecho
6520002,Hyogo,Kobe,Hyogoku,Hiranocho
6520036,Hyogo,Kobe,Hyogoku,Fukuwaracho
6520843,Hyogo,Kobe,Hyogoku,Funadaikucho
6520834,Hyogo,Kobe,Hyogoku,Hommachi
6520881,Hyogo,Kobe,Hyogoku,Matsubaradori
6520045,Hyogo,Kobe,Hyogoku,Matsumotodori
6520815,Hyogo,Kobe,Hyogoku,Mikawaguchicho
6520855,Hyogo,Kobe,Hyogoku,Misakicho
6520852,Hyogo,Kobe,Hyogoku,Misakihommachi
6520802,Hyogo,Kobe,Hyogoku,Mizukidori
6520861,Hyogo,Kobe,Hyogoku,Mitsuishidori
6520041,Hyogo,Kobe,Hyogoku,Minatogawacho
6520812,Hyogo,Kobe,Hyogoku,Minatocho
6520012,Hyogo,Kobe,Hyogoku,Minatoyamacho
6520893,Hyogo,Kobe,Hyogoku,Minamisakasegawacho
6520841,Hyogo,Kobe,Hyogoku,Minaminakamachi
6520883,Hyogo,Kobe,Hyogoku,Meiwadori
6520814,Hyogo,Kobe,Hyogoku,Monguchicho
6520005,Hyogo,Kobe,Hyogoku,Yabecho
6520031,Hyogo,Kobe,Hyogoku,Yukinogoshocho
6520063,Hyogo,Kobe,Hyogoku,Yumenocho
6520872,Hyogo,Kobe,Hyogoku,Yoshidacho
6520854,Hyogo,Kobe,Hyogoku,Wadasakicho
6520863,Hyogo,Kobe,Hyogoku,Wadamiyadori
6520884,Hyogo,Kobe,Hyogoku,Wadayamadori
6530000,Hyogo,Kobe,Nagataku,Ikanikeisaiganaibaai
6530824,Hyogo,Kobe,Nagataku,Ikeda Uemachi
6530823,Hyogo,Kobe,Nagataku,Ikeda Kyomachi
6530826,Hyogo,Kobe,Nagataku,Ikeda Shiomachi
6530825,Hyogo,Kobe,Nagataku,Ikeda Shimmachi
6530864,Hyogo,Kobe,Nagataku,Ikeda Somachi
6530822,Hyogo,Kobe,Nagataku,Ikeda Teramachi
6530814,Hyogo,Kobe,Nagataku,Ikeda Hiromachi
6530865,Hyogo,Kobe,Nagataku,Ikeda Miyamachi
6530821,Hyogo,Kobe,Nagataku,Ikeda Tanimachi
6530013,Hyogo,Kobe,Nagataku,Ichibancho
6530878,Hyogo,Kobe,Nagataku,Ichiriyamacho
6530871,Hyogo,Kobe,Nagataku,Uguisucho
6530036,Hyogo,Kobe,Nagataku,Udezukacho
6530021,Hyogo,Kobe,Nagataku,Umegakacho
6530838,Hyogo,Kobe,Nagataku,Otanicho
6530811,Hyogo,Kobe,Nagataku,Otsukacho
6530037,Hyogo,Kobe,Nagataku,Ohashicho
6530833,Hyogo,Kobe,Nagataku,Omichidori
6530802,Hyogo,Kobe,Nagataku,Omoikecho
6530843,Hyogo,Kobe,Nagataku,Oyashikidori
6530052,Hyogo,Kobe,Nagataku,Kaiuncho
6530836,Hyogo,Kobe,Nagataku,Kaguracho
6530805,Hyogo,Kobe,Nagataku,Katayamacho
6530827,Hyogo,Kobe,Nagataku,Kamiikeda
6530033,Hyogo,Kobe,Nagataku,Karumojimacho
6530032,Hyogo,Kobe,Nagataku,Karumodori
6530834,Hyogo,Kobe,Nagataku,Kawanishidori
6530016,Hyogo,Kobe,Nagataku,Kitamachi
6530041,Hyogo,Kobe,Nagataku,Kubocho
6530888,Hyogo,Kobe,Nagataku,Gempeicho
6530851,Hyogo,Kobe,Nagataku,Goinoikecho
6530867,Hyogo,Kobe,Nagataku,Kotocho
6530003,Hyogo,Kobe,Nagataku,Gobancho
6530034,Hyogo,Kobe,Nagataku,Komaecho
6530043,Hyogo,Kobe,Nagataku,Komagabayashicho
6530045,Hyogo,Kobe,Nagataku,Komagabayashiminamicho
6530011,Hyogo,Kobe,Nagataku,Sambancho
6530877,Hyogo,Kobe,Nagataku,Shikamatsucho
6530035,Hyogo,Kobe,Nagataku,Shodacho
6530853,Hyogo,Kobe,Nagataku,Shoyamacho
6530015,Hyogo,Kobe,Nagataku,Sugaharadori
6530806,Hyogo,Kobe,Nagataku,Daimarucho
6530856,Hyogo,Kobe,Nagataku,Takatorisancho
6530881,Hyogo,Kobe,Nagataku,Takitanicho
6530872,Hyogo,Kobe,Nagataku,Dainichigaokacho
6530866,Hyogo,Kobe,Nagataku,Chojamachi
6530804,Hyogo,Kobe,Nagataku,Teraikecho
6530845,Hyogo,Kobe,Nagataku,Tozakidori
6530855,Hyogo,Kobe,Nagataku,Nagaocho
6530812,Hyogo,Kobe,Nagataku,Nagatacho
6530882,Hyogo,Kobe,Nagataku,Nagatatenjincho
6530054,Hyogo,Kobe,Nagataku,Nagaracho
6530883,Hyogo,Kobe,Nagataku,Naguracho
6530001,Hyogo,Kobe,Nagataku,Nanabancho
6530055,Hyogo,Kobe,Nagataku,Namimatsucho
6530031,Hyogo,Kobe,Nagataku,Nishishiriikecho
6530844,Hyogo,Kobe,Nagataku,Nishidaidori
6530874,Hyogo,Kobe,Nagataku,Nishimaruyamacho
6530862,Hyogo,Kobe,Nagataku,Nishiyamacho
6530012,Hyogo,Kobe,Nagataku,Nibancho
6530051,Hyogo,Kobe,Nagataku,Nodacho
6530873,Hyogo,Kobe,Nagataku,Haginocho
6530837,Hyogo,Kobe,Nagataku,Hasuikecho
6530831,Hyogo,Kobe,Nagataku,Hasumiyadori
6530876,Hyogo,Kobe,Nagataku,Hanayamacho
6530024,Hyogo,Kobe,Nagataku,Hamazoedori
6530861,Hyogo,Kobe,Nagataku,Hayashiyamacho
6530887,Hyogo,Kobe,Nagataku,Hikawacho
6530023,Hyogo,Kobe,Nagataku,Higashishiriikeshincho
6530022,Hyogo,Kobe,Nagataku,Higashishiriikecho
6530886,Hyogo,Kobe,Nagataku,Higashimaruyamacho
6530879,Hyogo,Kobe,Nagataku,Hibarigaoka
6530039,Hyogo,Kobe,Nagataku,Hiyoshicho
6530042,Hyogo,Kobe,Nagataku,Futabacho
6530854,Hyogo,Kobe,Nagataku,Heiwadaicho
6530801,Hyogo,Kobe,Nagataku,Boojicho
6530835,Hyogo,Kobe,Nagataku,Hosodacho
6530885,Hyogo,Kobe,Nagataku,Horikiricho
6530053,Hyogo,Kobe,Nagataku,Honjocho
6530803,Hyogo,Kobe,Nagataku,Maebaracho
